2177,10,5,299,6,3
2177,10,5,2535,1,1
1438,7,4,715,4,2
2899,8,2,1691,7,3
446,6,8,291,8,5
448,4,6,377,2,3
1623,2,7,2810,4,10
890,4,3,282,10,3
890,4,3,2685,10,3
590,3,3,1033,6,6
667,9,8,2052,5,9
2358,9,3,2093,1,3
2817,3,6,29,7,9
2817,3,6,1871,2,2
2817,3,6,2512,8,5
694,10,2,926,1,9
2199,2,6,1168,4,5
2520,9,3,925,8,5
1061,2,8,743,10,10
757,3,2,158,7,2
950,5,6,944,7,7
1473,2,3,130,1,8
1473,2,3,1552,7,3
240,6,9,461,9,8
575,4,2,1852,10,6
540,2,1,1539,1,4
1235,4,10,1741,2,5
2928,2,4,513,7,5
2928,2,4,2114,5,1
639,10,1,345,7,9
1694,3,6,2071,10,7
1694,3,6,2952,7,6
2248,1,1,241,3,4
2826,5,8,475,10,1
2511,4,3,630,3,2
49,4,5,1799,3,4
841,7,4,2350,2,1
2256,3,8,1142,10,10
2764,9,8,1221,6,7
60,2,9,1283,7,8
1466,7,4,1558,8,9
2427,6,9,494,2,1
477,3,5,957,1,1
1495,9,1,2081,3,1
449,10,2,1499,5,2
602,6,10,439,1,5
1897,2,9,2494,4,3
1016,6,7,708,8,4
1969,7,10,762,10,8
594,6,4,361,5,7
1072,2,6,2576,9,3
1234,6,9,518,3,9
2370,9,2,2629,4,1
477,4,5,670,6,8
2132,4,7,204,6,5
2132,4,7,1480,8,4
888,10,4,555,6,10
294,5,4,2013,10,2
294,5,4,2089,10,2
449,4,8,2330,3,3
2719,8,8,818,6,5
1018,1,2,173,2,3
1018,1,2,354,8,3
2827,8,8,1354,3,4
2827,8,8,2340,6,5
489,8,3,174,3,1
489,8,3,1200,1,4
2582,9,4,2714,4,9
556,3,5,2940,4,10
556,3,5,2967,2,5
1286,8,1,520,3,10
2763,6,9,2280,4,8
2919,6,8,1394,9,3
1201,10,9,2738,5,4
1350,8,6,1535,7,2
611,9,7,1967,1,6
2630,1,6,1698,8,5
1729,9,1,273,1,6
1729,9,1,1873,3,5
1418,7,3,23,6,1
1286,6,6,840,9,7
273,1,9,586,2,3
173,7,8,2278,3,3
1915,8,1,2305,10,2
2400,10,4,2388,8,4
1776,7,2,363,3,1
1776,7,2,1623,9,6
329,4,8,1787,8,7
881,5,10,1069,1,8
736,2,9,1227,10,7
1081,4,7,1719,2,5
1081,4,7,1907,10,7
1619,7,7,2209,8,2
2867,9,7,2089,7,7
1105,6,4,1446,1,4
876,7,4,1998,8,9
982,6,1,2599,1,2
340,7,3,1234,4,3
1289,2,4,1119,4,5
1136,8,1,297,1,8
2443,2,5,1559,1,9
2712,3,6,440,7,1
513,4,7,564,8,4
513,4,7,1016,9,2
2565,8,10,987,6,4
2565,8,10,1074,4,5
2178,10,8,2327,6,5
344,9,4,999,7,5
2240,6,6,107,7,3
2284,8,10,696,2,2
2284,8,10,2295,2,4
2228,8,7,1091,9,5
1421,5,10,2373,7,7
647,9,8,533,10,5
1258,3,10,780,2,10
1258,3,10,1738,5,7
1258,3,10,1902,1,4
1047,8,5,1312,1,5
909,3,1,229,4,9
909,3,1,519,10,8
394,10,3,238,3,5
394,10,3,1720,3,1
2179,5,1,1021,4,5
993,10,1,793,3,7
1182,9,10,181,6,9
1182,9,10,826,3,7
1182,9,10,967,6,9
602,2,7,777,10,5
2096,1,6,936,9,3
98,5,2,2516,2,3
273,9,6,312,3,6
770,5,5,2188,10,2
770,5,5,2724,1,2
2160,10,6,1768,2,4
1897,10,2,1331,2,9
1178,1,4,1430,10,5
2564,4,5,1623,5,1
2517,2,2,832,4,4
1728,10,5,1173,5,1
2193,9,2,248,6,7
512,1,8,1456,9,4
2435,9,9,614,5,9
2435,9,9,1746,5,2
2435,9,9,2908,7,7
1739,1,4,21,9,10
766,4,1,476,7,10
766,4,1,874,9,10
564,3,6,770,6,5
564,3,6,2202,9,2
2393,6,6,1252,5,2
1858,1,9,2697,5,6
2065,5,9,986,4,3
1862,5,1,550,10,3
2903,1,6,817,3,6
534,6,4,2226,8,1
2616,3,8,1746,10,2
1751,5,3,1291,4,2
2165,7,3,1696,9,8
264,1,4,975,6,2
1787,9,8,1005,1,7
2931,8,4,1124,6,10
1530,5,5,509,4,1
917,9,4,2755,10,6
1488,4,7,960,9,3
916,6,5,1903,2,1
2961,6,8,1572,2,2
1112,5,9,1179,1,6
2885,8,4,256,6,8
2885,8,4,2560,5,10
1203,6,9,1354,2,9
700,4,2,1781,9,9
861,6,5,2834,4,8
1516,10,5,1765,9,4
1373,5,7,163,1,1
1373,5,7,410,6,8
839,3,4,1241,6,5
839,3,4,1873,8,6
2807,10,1,1868,7,2
1995,4,1,759,2,6
1995,4,1,2611,1,7
2891,4,9,138,1,9
858,10,8,582,2,10
1088,4,6,1434,2,1
1817,8,10,1272,7,10
1817,8,10,1611,7,3
65,10,3,336,8,1
2481,9,10,594,3,2
2481,9,10,1731,5,7
2986,6,6,90,5,6
2441,8,6,925,1,10
1119,3,7,577,1,6
453,2,9,1003,7,7
453,2,9,1723,6,6
453,2,9,2377,5,4
518,6,6,1132,9,4
1969,10,10,989,7,7
66,1,4,1215,8,8
66,1,4,2035,4,9
1386,8,5,2591,1,9
2195,9,9,619,6,2
2195,9,9,794,2,5
2195,9,9,1699,6,8
2152,2,6,1941,1,7
2054,9,1,2574,6,6
2792,2,8,850,1,4
637,2,1,1506,6,9
637,2,1,2043,6,6
2980,5,8,351,8,9
2980,5,8,1559,8,5
534,7,6,2838,5,2
925,4,9,527,9,10
925,4,9,548,8,3
925,4,9,2360,5,5
815,10,8,741,6,1
2812,4,3,207,2,10
935,6,9,540,7,2
1069,10,4,1857,5,6
795,7,8,2365,10,3
2939,7,1,1011,6,1
2939,7,1,2789,6,4
384,1,5,590,10,1
384,1,5,654,5,1
2073,10,4,1659,5,3
1660,1,2,1774,9,10
435,2,4,1787,10,8
435,2,4,2851,3,3
1650,4,9,1319,2,3
1650,4,9,2207,8,5
217,4,3,508,8,6
217,4,3,2106,9,10
217,4,3,2566,9,1
2553,7,3,170,4,4
380,9,1,460,8,2
380,9,1,1673,6,6
2538,5,8,981,2,5
117,6,3,705,1,1
117,6,3,2025,7,9
1858,3,10,2364,9,4
2039,8,1,173,7,7
2338,6,9,2151,5,5
1228,1,1,2624,7,1
620,1,7,786,3,8
649,8,10,2415,9,2
2916,5,4,915,9,1
2469,5,7,1249,1,7
1014,6,2,2706,2,3
1146,1,5,1488,2,9
2928,6,7,2646,7,3
2128,9,3,801,2,2
797,10,4,911,6,2
1848,2,7,327,5,2
283,6,9,2227,8,3
461,3,3,1289,8,9
316,9,9,91,4,4
429,6,6,2430,7,3
906,3,3,33,1,6
2032,9,1,35,4,2
1519,7,10,262,9,10
1519,7,10,1353,5,9
1519,7,10,2505,5,6
2245,7,8,1389,1,2
2245,7,8,2660,9,9
1259,3,8,1181,5,10
1132,6,9,1343,5,7
1224,5,8,23,6,5
1224,5,8,154,10,10
1968,6,5,755,5,2
1968,6,5,2028,4,2
2105,5,1,2634,10,7
678,8,3,1173,3,1
2197,3,1,1672,7,10
2197,3,1,2818,2,1
807,3,9,1285,2,6
1646,5,3,724,3,5
1286,3,3,2551,4,6
609,4,6,486,1,8
1444,5,1,2831,9,3
573,5,9,2013,4,4
2264,8,6,2405,2,1
2264,8,6,2507,4,9
2947,10,4,1154,1,4
2553,8,3,615,9,10
544,2,10,2691,9,4
1096,9,10,907,7,4
2578,2,8,1173,3,8
216,7,7,115,3,9
216,7,7,604,1,9
235,2,1,1573,4,7
676,7,10,2061,3,8
2348,10,10,2337,3,10
449,7,7,397,10,2
449,7,7,1492,3,4
449,7,7,2171,4,5
449,7,7,2699,8,9
2966,10,7,549,4,3
2966,10,7,1367,5,4
617,8,7,1488,1,8
617,8,7,1582,5,3
2137,7,4,311,1,3
443,9,2,396,3,2
1570,1,5,2817,7,7
905,4,6,1659,7,10
1178,10,2,46,4,1
2309,3,8,1283,4,3
1498,8,3,2725,10,9
799,3,1,2202,9,6
1199,3,10,182,5,2
2279,1,4,1234,3,3
592,3,3,919,7,5
868,4,2,1146,9,9
1010,3,3,687,10,3
1010,3,3,2799,6,6
2276,3,4,433,6,9
1487,8,9,1339,9,5
1063,3,4,609,6,1
